home,game_date,Target label,fg_pct_home,fg3_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pts_home,away,fg_pct_away,fg3_pct_away,oreb_away,dreb_away,ast_away,stl_away,blk_away,pts_away,season_type
Los Angeles Lakers,2020-01-01,W,0.478,0.25,13.0,32.0,25.0,9.0,5.0,13.0,117,Phoenix Suns,0.488,0.261,11.0,36.0,32.0,7.0,3.0,107,Regular Season
Washington Wizards,2020-01-01,L,0.379,0.29,9.0,37.0,18.0,5.0,4.0,13.0,101,Orlando Magic,0.474,0.375,11.0,41.0,25.0,11.0,6.0,122,Regular Season
Minnesota Timberwolves,2020-01-02,W,0.4,0.302,17.0,35.0,22.0,7.0,7.0,15.0,99,Golden State Warriors,0.429,0.15,7.0,36.0,20.0,9.0,1.0,84,Regular Season
Chicago Bulls,2020-01-02,L,0.394,0.306,15.0,30.0,22.0,8.0,5.0,11.0,98,Utah Jazz,0.487,0.367,7.0,35.0,24.0,5.0,6.0,102,Regular Season
Indiana Pacers,2020-01-02,L,0.524,0.462,9.0,25.0,32.0,7.0,3.0,9.0,116,Denver Nuggets,0.529,0.296,15.0,32.0,27.0,7.0,2.0,124,Regular Season
San Antonio Spurs,2020-01-02,L,0.435,0.419,14.0,31.0,22.0,1.0,8.0,9.0,103,Oklahoma City Thunder,0.483,0.36,8.0,35.0,19.0,7.0,6.0,109,Regular Season
Cleveland Cavaliers,2020-01-02,L,0.506,0.371,7.0,35.0,26.0,6.0,3.0,15.0,106,Charlotte Hornets,0.446,0.395,10.0,29.0,25.0,5.0,0.0,109,Regular Season
Miami Heat,2020-01-02,W,0.407,0.324,9.0,41.0,23.0,6.0,4.0,16.0,84,Toronto Raptors,0.315,0.143,13.0,35.0,20.0,4.0,6.0,76,Regular Season
LA Clippers,2020-01-02,W,0.543,0.393,11.0,40.0,29.0,6.0,11.0,15.0,126,Detroit Pistons,0.426,0.212,12.0,33.0,20.0,10.0,1.0,112,Regular Season
Sacramento Kings,2020-01-02,W,0.489,0.412,7.0,34.0,26.0,9.0,8.0,13.0,128,Memphis Grizzlies,0.484,0.382,8.0,34.0,31.0,4.0,0.0,123,Regular Season
Dallas Mavericks,2020-01-02,W,0.506,0.474,12.0,34.0,22.0,4.0,8.0,14.0,123,Brooklyn Nets,0.462,0.324,12.0,32.0,29.0,5.0,1.0,111,Regular Season
Los Angeles Lakers,2020-01-03,W,0.5,0.483,8.0,39.0,29.0,9.0,4.0,14.0,123,New Orleans Pelicans,0.471,0.297,9.0,31.0,24.0,4.0,10.0,113,Regular Season
Washington Wizards,2020-01-03,L,0.422,0.333,14.0,27.0,19.0,5.0,4.0,13.0,103,Portland Trail Blazers,0.511,0.24,11.0,30.0,16.0,6.0,7.0,122,Regular Season
Boston Celtics,2020-01-03,W,0.441,0.24,12.0,42.0,23.0,9.0,7.0,13.0,109,Atlanta Hawks,0.419,0.356,6.0,36.0,26.0,6.0,5.0,106,Regular Season
Orlando Magic,2020-01-03,W,0.407,0.371,7.0,37.0,25.0,11.0,4.0,11.0,105,Miami Heat,0.375,0.189,10.0,39.0,16.0,7.0,2.0,85,Regular Season
Houston Rockets,2020-01-03,W,0.477,0.375,8.0,38.0,22.0,6.0,3.0,14.0,118,Philadelphia 76ers,0.457,0.222,10.0,34.0,32.0,7.0,6.0,108,Regular Season
Phoenix Suns,2020-01-03,W,0.467,0.357,9.0,39.0,28.0,7.0,3.0,10.0,120,New York Knicks,0.446,0.27,13.0,39.0,19.0,7.0,7.0,112,Regular Season
Sacramento Kings,2020-01-04,L,0.447,0.571,14.0,37.0,20.0,9.0,3.0,21.0,115,New Orleans Pelicans,0.437,0.356,9.0,35.0,28.0,11.0,3.0,117,Regular Season
Milwaukee Bucks,2020-01-04,W,0.494,0.378,7.0,42.0,23.0,4.0,10.0,9.0,127,San Antonio Spurs,0.413,0.344,11.0,39.0,20.0,7.0,0.0,118,Regular Season
Chicago Bulls,2020-01-04,L,0.425,0.382,11.0,26.0,23.0,15.0,5.0,16.0,104,Boston Celtics,0.524,0.421,13.0,31.0,22.0,10.0,5.0,111,Regular Season
Dallas Mavericks,2020-01-04,L,0.47,0.3,14.0,27.0,28.0,7.0,4.0,10.0,120,Charlotte Hornets,0.494,0.44,16.0,37.0,27.0,5.0,5.0,123,Regular Season
Cleveland Cavaliers,2020-01-04,L,0.459,0.467,9.0,33.0,19.0,4.0,0.0,15.0,106,Oklahoma City Thunder,0.448,0.378,18.0,34.0,24.0,6.0,4.0,121,Regular Season
Orlando Magic,2020-01-04,L,0.447,0.297,9.0,37.0,21.0,6.0,5.0,10.0,96,Utah Jazz,0.452,0.4,14.0,37.0,22.0,3.0,3.0,109,Regular Season
Golden State Warriors,2020-01-04,L,0.402,0.524,11.0,31.0,26.0,13.0,3.0,14.0,104,Detroit Pistons,0.518,0.407,9.0,37.0,24.0,13.0,5.0,111,Regular Season
LA Clippers,2020-01-04,L,0.446,0.233,14.0,35.0,20.0,3.0,1.0,13.0,114,Memphis Grizzlies,0.51,0.462,11.0,43.0,36.0,8.0,10.0,140,Regular Season
Washington Wizards,2020-01-04,W,0.549,0.375,14.0,35.0,20.0,5.0,6.0,11.0,128,Denver Nuggets,0.46,0.207,9.0,24.0,18.0,6.0,2.0,114,Regular Season
Brooklyn Nets,2020-01-04,L,0.478,0.371,6.0,32.0,24.0,4.0,11.0,24.0,102,Toronto Raptors,0.454,0.406,15.0,28.0,21.0,10.0,4.0,121,Regular Season
Atlanta Hawks,2020-01-04,W,0.512,0.313,4.0,36.0,22.0,8.0,4.0,14.0,116,Indiana Pacers,0.414,0.37,13.0,26.0,24.0,8.0,4.0,111,Regular Season
Phoenix Suns,2020-01-05,L,0.453,0.231,12.0,34.0,25.0,7.0,4.0,10.0,114,Memphis Grizzlies,0.542,0.429,3.0,39.0,31.0,4.0,8.0,121,Regular Season
LA Clippers,2020-01-05,W,0.542,0.563,10.0,32.0,25.0,4.0,3.0,19.0,135,New York Knicks,0.571,0.522,8.0,29.0,22.0,11.0,4.0,132,Regular Season
Miami Heat,2020-01-05,W,0.522,0.409,11.0,36.0,34.0,4.0,5.0,11.0,122,Portland Trail Blazers,0.46,0.351,8.0,32.0,21.0,5.0,4.0,111,Regular Season
Cleveland Cavaliers,2020-01-05,L,0.476,0.32,12.0,32.0,15.0,6.0,2.0,20.0,103,Minnesota Timberwolves,0.495,0.368,14.0,29.0,32.0,16.0,8.0,118,Regular Season
Los Angeles Lakers,2020-01-05,W,0.457,0.3,11.0,39.0,23.0,8.0,20.0,13.0,106,Detroit Pistons,0.372,0.423,6.0,37.0,21.0,8.0,6.0,99,Regular Season
Washington Wizards,2020-01-06,W,0.464,0.333,7.0,40.0,18.0,8.0,9.0,14.0,99,Boston Celtics,0.347,0.216,16.0,39.0,17.0,7.0,8.0,94,Regular Season
Orlando Magic,2020-01-06,W,0.432,0.308,11.0,49.0,21.0,8.0,3.0,20.0,101,Brooklyn Nets,0.333,0.213,12.0,34.0,20.0,11.0,1.0,89,Regular Season
Sacramento Kings,2020-01-06,W,0.481,0.5,6.0,37.0,27.0,10.0,3.0,23.0,111,Golden State Warriors,0.395,0.192,10.0,34.0,19.0,13.0,4.0,98,Regular Season
New Orleans Pelicans,2020-01-06,L,0.479,0.387,13.0,35.0,23.0,4.0,5.0,6.0,126,Utah Jazz,0.511,0.485,7.0,36.0,19.0,3.0,3.0,128,Regular Season
San Antonio Spurs,2020-01-06,W,0.511,0.543,10.0,44.0,23.0,4.0,2.0,13.0,126,Milwaukee Bucks,0.4,0.333,10.0,28.0,24.0,5.0,5.0,104,Regular Season
Charlotte Hornets,2020-01-06,L,0.457,0.333,8.0,30.0,21.0,3.0,3.0,12.0,104,Indiana Pacers,0.528,0.385,12.0,31.0,31.0,8.0,5.0,115,Regular Season
Atlanta Hawks,2020-01-06,L,0.455,0.462,4.0,30.0,24.0,3.0,5.0,10.0,115,Denver Nuggets,0.511,0.333,7.0,34.0,27.0,4.0,6.0,123,Regular Season
Dallas Mavericks,2020-01-06,W,0.524,0.39,11.0,32.0,25.0,5.0,6.0,15.0,118,Chicago Bulls,0.469,0.29,17.0,28.0,25.0,10.0,6.0,110,Regular Season
Philadelphia 76ers,2020-01-06,W,0.511,0.5,9.0,33.0,31.0,4.0,0.0,10.0,120,Oklahoma City Thunder,0.449,0.414,14.0,33.0,17.0,3.0,3.0,113,Regular Season
Los Angeles Lakers,2020-01-07,W,0.5,0.472,6.0,42.0,27.0,11.0,11.0,19.0,117,New York Knicks,0.389,0.2,15.0,32.0,15.0,10.0,3.0,87,Regular Season
Cleveland Cavaliers,2020-01-07,L,0.494,0.452,11.0,35.0,29.0,7.0,4.0,17.0,113,Detroit Pistons,0.462,0.394,10.0,30.0,26.0,8.0,3.0,115,Regular Season
Brooklyn Nets,2020-01-07,L,0.408,0.297,11.0,41.0,19.0,5.0,5.0,17.0,103,Oklahoma City Thunder,0.413,0.297,8.0,43.0,19.0,11.0,3.0,111,Regular Season
Phoenix Suns,2020-01-07,L,0.481,0.314,6.0,35.0,24.0,4.0,2.0,19.0,103,Sacramento Kings,0.44,0.417,8.0,33.0,18.0,8.0,1.0,114,Regular Season
Toronto Raptors,2020-01-07,L,0.365,0.357,17.0,40.0,21.0,5.0,7.0,13.0,99,Portland Trail Blazers,0.432,0.371,7.0,38.0,23.0,6.0,11.0,101,Regular Season
Memphis Grizzlies,2020-01-07,W,0.517,0.286,9.0,35.0,22.0,12.0,6.0,15.0,119,Minnesota Timberwolves,0.444,0.319,10.0,30.0,23.0,10.0,1.0,112,Regular Season
Utah Jazz,2020-01-08,W,0.544,0.372,12.0,38.0,29.0,6.0,6.0,7.0,128,New York Knicks,0.433,0.36,14.0,27.0,18.0,3.0,1.0,104,Regular Season
Indiana Pacers,2020-01-08,L,0.476,0.333,6.0,31.0,25.0,5.0,3.0,12.0,108,Miami Heat,0.531,0.421,3.0,38.0,28.0,8.0,4.0,122,Regular Season
Orlando Magic,2020-01-08,W,0.494,0.37,13.0,38.0,24.0,18.0,3.0,17.0,123,Washington Wizards,0.429,0.261,10.0,30.0,24.0,8.0,5.0,89,Regular Season
Boston Celtics,2020-01-08,L,0.416,0.342,8.0,31.0,26.0,7.0,2.0,15.0,114,San Antonio Spurs,0.552,0.31,8.0,41.0,28.0,9.0,6.0,129,Regular Season
Golden State Warriors,2020-01-08,L,0.379,0.395,12.0,40.0,29.0,7.0,4.0,19.0,98,Milwaukee Bucks,0.402,0.22,5.0,42.0,22.0,11.0,3.0,107,Regular Season
Dallas Mavericks,2020-01-08,L,0.506,0.343,6.0,32.0,27.0,8.0,6.0,13.0,106,Denver Nuggets,0.482,0.375,9.0,29.0,27.0,7.0,5.0,107,Regular Season
New Orleans Pelicans,2020-01-08,W,0.471,0.341,12.0,38.0,31.0,7.0,8.0,15.0,123,Chicago Bulls,0.446,0.4,10.0,29.0,22.0,12.0,2.0,108,Regular Season
Atlanta Hawks,2020-01-08,L,0.368,0.295,16.0,38.0,20.0,6.0,8.0,11.0,115,Houston Rockets,0.424,0.289,16.0,43.0,22.0,7.0,7.0,122,Regular Season
Charlotte Hornets,2020-01-08,L,0.442,0.405,13.0,37.0,30.0,6.0,6.0,20.0,110,Toronto Raptors,0.447,0.389,14.0,32.0,34.0,7.0,5.0,112,Regular Season
Oklahoma City Thunder,2020-01-09,W,0.494,0.344,9.0,43.0,22.0,8.0,2.0,13.0,113,Houston Rockets,0.382,0.275,8.0,31.0,16.0,4.0,3.0,92,Regular Season
Detroit Pistons,2020-01-09,L,0.49,0.3,19.0,27.0,20.0,8.0,9.0,16.0,112,Cleveland Cavaliers,0.527,0.25,10.0,29.0,24.0,9.0,5.0,115,Regular Season
Philadelphia 76ers,2020-01-09,W,0.489,0.407,13.0,35.0,24.0,6.0,5.0,13.0,109,Boston Celtics,0.432,0.389,8.0,30.0,17.0,8.0,1.0,98,Regular Season
Minnesota Timberwolves,2020-01-09,W,0.494,0.406,15.0,41.0,25.0,7.0,9.0,15.0,116,Portland Trail Blazers,0.365,0.297,14.0,27.0,14.0,9.0,6.0,102,Regular Season
Sacramento Kings,2020-01-10,L,0.458,0.286,6.0,39.0,26.0,8.0,3.0,16.0,106,Milwaukee Bucks,0.495,0.256,7.0,45.0,29.0,11.0,4.0,127,Regular Season
Phoenix Suns,2020-01-10,W,0.418,0.321,9.0,35.0,19.0,10.0,8.0,15.0,98,Orlando Magic,0.371,0.273,14.0,35.0,15.0,9.0,6.0,94,Regular Season
Dallas Mavericks,2020-01-10,L,0.406,0.289,17.0,30.0,19.0,4.0,3.0,9.0,114,Los Angeles Lakers,0.528,0.417,12.0,37.0,18.0,6.0,5.0,129,Regular Season
Utah Jazz,2020-01-10,W,0.506,0.429,9.0,31.0,28.0,9.0,6.0,16.0,109,Charlotte Hornets,0.467,0.308,7.0,30.0,20.0,6.0,3.0,92,Regular Season
Brooklyn Nets,2020-01-10,W,0.484,0.341,14.0,37.0,31.0,5.0,4.0,10.0,117,Miami Heat,0.518,0.241,4.0,36.0,26.0,6.0,3.0,113,Regular Season
Chicago Bulls,2020-01-10,L,0.463,0.439,6.0,30.0,16.0,6.0,3.0,16.0,105,Indiana Pacers,0.571,0.367,8.0,38.0,31.0,9.0,5.0,116,Regular Season
Memphis Grizzlies,2020-01-10,W,0.52,0.421,11.0,38.0,39.0,5.0,6.0,8.0,134,San Antonio Spurs,0.483,0.425,5.0,32.0,29.0,3.0,6.0,121,Regular Season
LA Clippers,2020-01-10,W,0.488,0.282,9.0,45.0,27.0,5.0,7.0,19.0,109,Golden State Warriors,0.385,0.205,13.0,33.0,28.0,9.0,1.0,100,Regular Season
Washington Wizards,2020-01-10,W,0.375,0.345,19.0,38.0,26.0,11.0,1.0,9.0,111,Atlanta Hawks,0.461,0.241,9.0,47.0,19.0,5.0,9.0,101,Regular Season
New York Knicks,2020-01-10,L,0.46,0.185,14.0,32.0,26.0,13.0,1.0,13.0,111,New Orleans Pelicans,0.558,0.474,6.0,37.0,35.0,8.0,6.0,123,Regular Season
Boston Celtics,2020-01-11,W,0.55,0.483,10.0,43.0,29.0,14.0,3.0,11.0,140,New Orleans Pelicans,0.4,0.311,15.0,28.0,29.0,4.0,6.0,105,Regular Season
Houston Rockets,2020-01-11,W,0.516,0.4,12.0,46.0,29.0,9.0,6.0,22.0,139,Minnesota Timberwolves,0.379,0.271,13.0,31.0,28.0,12.0,4.0,109,Regular Season
Dallas Mavericks,2020-01-11,W,0.506,0.407,11.0,43.0,22.0,4.0,8.0,16.0,109,Philadelphia 76ers,0.378,0.243,14.0,29.0,22.0,11.0,5.0,91,Regular Season
Detroit Pistons,2020-01-11,L,0.462,0.321,12.0,30.0,22.0,7.0,4.0,19.0,99,Chicago Bulls,0.506,0.314,9.0,29.0,24.0,11.0,6.0,108,Regular Season
Oklahoma City Thunder,2020-01-11,L,0.467,0.29,5.0,32.0,23.0,6.0,6.0,7.0,110,Los Angeles Lakers,0.515,0.469,12.0,42.0,21.0,3.0,4.0,125,Regular Season
Denver Nuggets,2020-01-11,L,0.432,0.205,11.0,31.0,23.0,9.0,4.0,5.0,103,Cleveland Cavaliers,0.494,0.324,12.0,43.0,22.0,5.0,1.0,111,Regular Season
Portland Trail Blazers,2020-01-11,L,0.389,0.278,8.0,40.0,17.0,6.0,4.0,13.0,101,Milwaukee Bucks,0.456,0.368,10.0,50.0,21.0,6.0,5.0,122,Regular Season
Toronto Raptors,2020-01-12,L,0.406,0.354,8.0,37.0,30.0,7.0,3.0,12.0,104,San Antonio Spurs,0.437,0.219,9.0,42.0,24.0,6.0,5.0,105,Regular Season
Memphis Grizzlies,2020-01-12,W,0.45,0.314,18.0,42.0,33.0,17.0,7.0,17.0,122,Golden State Warriors,0.38,0.5,12.0,35.0,23.0,11.0,6.0,102,Regular Season
Washington Wizards,2020-01-12,L,0.505,0.318,9.0,28.0,28.0,5.0,4.0,10.0,116,Utah Jazz,0.533,0.333,12.0,32.0,24.0,6.0,2.0,127,Regular Season
New York Knicks,2020-01-12,W,0.511,0.29,10.0,29.0,24.0,11.0,3.0,6.0,124,Miami Heat,0.538,0.4,8.0,31.0,24.0,1.0,5.0,121,Regular Season
Brooklyn Nets,2020-01-12,W,0.532,0.385,7.0,55.0,25.0,8.0,2.0,26.0,108,Atlanta Hawks,0.33,0.25,4.0,29.0,23.0,16.0,4.0,86,Regular Season
Denver Nuggets,2020-01-12,W,0.481,0.44,9.0,35.0,24.0,7.0,4.0,14.0,114,LA Clippers,0.452,0.242,10.0,32.0,21.0,8.0,5.0,104,Regular Season
Phoenix Suns,2020-01-12,W,0.5,0.333,12.0,39.0,22.0,8.0,5.0,18.0,100,Charlotte Hornets,0.419,0.229,8.0,29.0,25.0,10.0,3.0,92,Regular Season
Detroit Pistons,2020-01-13,L,0.404,0.344,5.0,38.0,27.0,11.0,8.0,9.0,110,New Orleans Pelicans,0.417,0.346,17.0,44.0,23.0,6.0,5.0,117,Regular Season
Los Angeles Lakers,2020-01-13,W,0.545,0.367,11.0,34.0,33.0,8.0,3.0,9.0,128,Cleveland Cavaliers,0.447,0.28,10.0,30.0,21.0,4.0,1.0,99,Regular Season
Indiana Pacers,2020-01-13,W,0.384,0.385,13.0,37.0,24.0,6.0,6.0,9.0,101,Philadelphia 76ers,0.416,0.182,12.0,40.0,17.0,6.0,4.0,95,Regular Season
Sacramento Kings,2020-01-13,L,0.517,0.387,4.0,40.0,25.0,6.0,4.0,12.0,112,Orlando Magic,0.435,0.31,12.0,34.0,17.0,6.0,5.0,114,Regular Season
Portland Trail Blazers,2020-01-13,W,0.506,0.432,9.0,38.0,26.0,4.0,5.0,13.0,115,Charlotte Hornets,0.444,0.474,10.0,32.0,24.0,7.0,3.0,112,Regular Season
Minnesota Timberwolves,2020-01-13,L,0.418,0.343,9.0,28.0,23.0,10.0,6.0,10.0,104,Oklahoma City Thunder,0.5,0.4,7.0,44.0,25.0,4.0,6.0,117,Regular Season
Boston Celtics,2020-01-13,W,0.47,0.391,10.0,33.0,28.0,7.0,6.0,12.0,113,Chicago Bulls,0.457,0.24,7.0,31.0,16.0,5.0,5.0,101,Regular Season
Golden State Warriors,2020-01-14,L,0.448,0.281,7.0,29.0,27.0,4.0,1.0,14.0,97,Dallas Mavericks,0.51,0.351,15.0,38.0,23.0,5.0,2.0,124,Regular Season
Brooklyn Nets,2020-01-14,L,0.5,0.308,11.0,32.0,22.0,4.0,4.0,12.0,107,Utah Jazz,0.5,0.361,7.0,34.0,19.0,8.0,3.0,118,Regular Season
Memphis Grizzlies,2020-01-14,W,0.505,0.351,7.0,35.0,29.0,6.0,9.0,9.0,121,Houston Rockets,0.43,0.311,9.0,32.0,18.0,4.0,2.0,110,Regular Season
Milwaukee Bucks,2020-01-14,W,0.489,0.417,8.0,51.0,27.0,4.0,8.0,14.0,128,New York Knicks,0.353,0.297,12.0,37.0,26.0,7.0,3.0,102,Regular Season
Atlanta Hawks,2020-01-14,W,0.495,0.452,12.0,34.0,25.0,3.0,10.0,17.0,123,Phoenix Suns,0.46,0.2,10.0,30.0,20.0,9.0,6.0,110,Regular Season
LA Clippers,2020-01-14,W,0.521,0.395,14.0,39.0,29.0,7.0,8.0,11.0,128,Cleveland Cavaliers,0.418,0.378,8.0,32.0,25.0,5.0,6.0,103,Regular Season
Houston Rockets,2020-01-15,L,0.396,0.327,12.0,38.0,24.0,4.0,4.0,12.0,107,Portland Trail Blazers,0.432,0.306,12.0,46.0,22.0,6.0,4.0,117,Regular Season
Los Angeles Lakers,2020-01-15,L,0.495,0.395,13.0,35.0,34.0,7.0,6.0,16.0,118,Orlando Magic,0.457,0.385,13.0,35.0,22.0,10.0,2.0,119,Regular Season
Minnesota Timberwolves,2020-01-15,L,0.432,0.393,10.0,35.0,26.0,6.0,7.0,15.0,99,Indiana Pacers,0.518,0.304,7.0,38.0,27.0,7.0,3.0,104,Regular Season
Sacramento Kings,2020-01-15,L,0.521,0.364,11.0,31.0,28.0,5.0,0.0,8.0,123,Dallas Mavericks,0.511,0.325,13.0,34.0,24.0,4.0,2.0,127,Regular Season
Boston Celtics,2020-01-15,L,0.494,0.321,13.0,31.0,21.0,7.0,2.0,15.0,103,Detroit Pistons,0.603,0.375,3.0,31.0,30.0,8.0,4.0,116,Regular Season
Miami Heat,2020-01-15,W,0.466,0.425,8.0,41.0,26.0,4.0,5.0,10.0,106,San Antonio Spurs,0.438,0.303,6.0,35.0,22.0,8.0,4.0,100,Regular Season
Oklahoma City Thunder,2020-01-15,L,0.506,0.381,4.0,27.0,32.0,14.0,3.0,20.0,121,Toronto Raptors,0.612,0.556,5.0,31.0,33.0,13.0,1.0,130,Regular Season
Denver Nuggets,2020-01-15,W,0.481,0.321,3.0,37.0,28.0,8.0,7.0,13.0,100,Charlotte Hornets,0.407,0.343,9.0,33.0,28.0,4.0,6.0,86,Regular Season
Philadelphia 76ers,2020-01-15,W,0.511,0.367,13.0,36.0,25.0,7.0,11.0,12.0,117,Brooklyn Nets,0.437,0.48,11.0,33.0,20.0,9.0,1.0,106,Regular Season
Chicago Bulls,2020-01-15,W,0.506,0.368,8.0,33.0,26.0,11.0,5.0,15.0,115,Washington Wizards,0.468,0.407,7.0,31.0,25.0,8.0,6.0,106,Regular Season
New Orleans Pelicans,2020-01-16,W,0.548,0.423,9.0,36.0,29.0,8.0,9.0,13.0,138,Utah Jazz,0.46,0.385,11.0,32.0,23.0,9.0,6.0,132,Regular Season
Milwaukee Bucks,2020-01-16,W,0.494,0.516,7.0,43.0,21.0,6.0,6.0,10.0,128,Boston Celtics,0.439,0.306,10.0,33.0,16.0,4.0,7.0,123,Regular Season
New York Knicks,2020-01-16,L,0.411,0.308,10.0,30.0,21.0,12.0,3.0,18.0,98,Phoenix Suns,0.511,0.4,14.0,39.0,31.0,11.0,4.0,121,Regular Season
LA Clippers,2020-01-16,W,0.495,0.438,10.0,49.0,29.0,4.0,4.0,10.0,122,Orlando Magic,0.391,0.333,6.0,36.0,24.0,4.0,4.0,95,Regular Season
Golden State Warriors,2020-01-16,L,0.442,0.444,10.0,32.0,36.0,12.0,6.0,19.0,131,Denver Nuggets,0.47,0.486,15.0,41.0,31.0,11.0,6.0,134,Regular Season
San Antonio Spurs,2020-01-17,L,0.459,0.276,14.0,34.0,28.0,12.0,6.0,15.0,120,Atlanta Hawks,0.5,0.475,8.0,35.0,21.0,10.0,6.0,121,Regular Season
Philadelphia 76ers,2020-01-17,W,0.488,0.31,9.0,35.0,30.0,9.0,7.0,13.0,100,Chicago Bulls,0.432,0.229,6.0,31.0,21.0,8.0,3.0,89,Regular Season
Oklahoma City Thunder,2020-01-17,L,0.44,0.391,6.0,29.0,29.0,4.0,5.0,10.0,108,Miami Heat,0.488,0.389,6.0,39.0,26.0,4.0,3.0,115,Regular Season
Indiana Pacers,2020-01-17,W,0.561,0.333,4.0,37.0,24.0,4.0,8.0,13.0,116,Minnesota Timberwolves,0.455,0.436,7.0,29.0,22.0,4.0,1.0,114,Regular Season
Memphis Grizzlies,2020-01-17,W,0.506,0.321,7.0,37.0,32.0,11.0,8.0,12.0,113,Cleveland Cavaliers,0.446,0.25,16.0,34.0,18.0,6.0,2.0,109,Regular Season
Toronto Raptors,2020-01-17,W,0.571,0.512,7.0,34.0,35.0,16.0,2.0,19.0,140,Washington Wizards,0.449,0.429,13.0,30.0,19.0,9.0,3.0,111,Regular Season
Dallas Mavericks,2020-01-17,W,0.438,0.426,13.0,30.0,19.0,6.0,4.0,13.0,120,Portland Trail Blazers,0.518,0.3,8.0,32.0,25.0,6.0,5.0,112,Regular Season
Oklahoma City Thunder,2020-01-18,W,0.518,0.318,12.0,36.0,25.0,5.0,4.0,13.0,119,Portland Trail Blazers,0.429,0.375,12.0,28.0,11.0,7.0,7.0,106,Regular Season
New York Knicks,2020-01-18,L,0.398,0.24,12.0,36.0,20.0,4.0,5.0,14.0,87,Philadelphia 76ers,0.436,0.313,5.0,36.0,26.0,8.0,6.0,90,Regular Season
Boston Celtics,2020-01-18,L,0.438,0.357,4.0,35.0,26.0,11.0,6.0,11.0,119,Phoenix Suns,0.472,0.419,10.0,42.0,27.0,6.0,6.0,123,Regular Season
Utah Jazz,2020-01-18,W,0.506,0.333,10.0,37.0,24.0,7.0,4.0,10.0,123,Sacramento Kings,0.488,0.385,7.0,30.0,20.0,3.0,3.0,101,Regular Season
Golden State Warriors,2020-01-18,W,0.457,0.3,7.0,37.0,25.0,9.0,2.0,11.0,109,Orlando Magic,0.453,0.29,9.0,37.0,21.0,7.0,5.0,95,Regular Season
Houston Rockets,2020-01-18,L,0.444,0.324,11.0,35.0,20.0,8.0,4.0,20.0,115,Los Angeles Lakers,0.484,0.333,15.0,34.0,25.0,13.0,9.0,124,Regular Season
Brooklyn Nets,2020-01-18,L,0.333,0.306,12.0,35.0,23.0,11.0,7.0,17.0,97,Milwaukee Bucks,0.506,0.459,5.0,49.0,30.0,8.0,6.0,117,Regular Season
Atlanta Hawks,2020-01-18,L,0.43,0.294,10.0,22.0,18.0,9.0,6.0,20.0,103,Detroit Pistons,0.593,0.469,11.0,30.0,31.0,12.0,8.0,136,Regular Season
Minnesota Timberwolves,2020-01-18,L,0.404,0.28,12.0,37.0,34.0,8.0,5.0,17.0,112,Toronto Raptors,0.516,0.371,7.0,35.0,25.0,13.0,9.0,122,Regular Season
New Orleans Pelicans,2020-01-18,L,0.535,0.366,12.0,36.0,32.0,7.0,4.0,21.0,130,LA Clippers,0.495,0.323,10.0,26.0,22.0,12.0,2.0,133,Regular Season
Chicago Bulls,2020-01-18,W,0.552,0.36,4.0,22.0,25.0,18.0,4.0,12.0,118,Cleveland Cavaliers,0.548,0.517,7.0,29.0,27.0,5.0,5.0,116,Regular Season
Denver Nuggets,2020-01-19,L,0.466,0.13,12.0,32.0,22.0,10.0,4.0,9.0,107,Indiana Pacers,0.5,0.448,11.0,27.0,31.0,1.0,4.0,115,Regular Season
San Antonio Spurs,2020-01-19,W,0.424,0.364,9.0,34.0,27.0,5.0,4.0,11.0,107,Miami Heat,0.43,0.294,10.0,37.0,23.0,8.0,3.0,102,Regular Season
Portland Trail Blazers,2020-01-20,W,0.44,0.318,12.0,42.0,21.0,4.0,11.0,12.0,129,Golden State Warriors,0.414,0.25,19.0,41.0,30.0,7.0,5.0,124,Regular Season
Charlotte Hornets,2020-01-20,L,0.382,0.303,9.0,30.0,21.0,4.0,5.0,18.0,83,Orlando Magic,0.478,0.5,15.0,32.0,25.0,9.0,4.0,106,Regular Season
Boston Celtics,2020-01-20,W,0.559,0.471,14.0,34.0,31.0,10.0,5.0,12.0,139,Los Angeles Lakers,0.438,0.269,12.0,24.0,22.0,5.0,8.0,107,Regular Season
Atlanta Hawks,2020-01-20,L,0.494,0.364,9.0,41.0,26.0,9.0,8.0,24.0,117,Toronto Raptors,0.413,0.31,12.0,33.0,25.0,13.0,3.0,122,Regular Season
Cleveland Cavaliers,2020-01-20,L,0.34,0.333,16.0,37.0,15.0,5.0,4.0,10.0,86,New York Knicks,0.482,0.391,7.0,42.0,17.0,6.0,9.0,106,Regular Season
Utah Jazz,2020-01-20,W,0.54,0.387,11.0,42.0,22.0,5.0,4.0,21.0,118,Indiana Pacers,0.419,0.269,9.0,21.0,23.0,15.0,9.0,88,Regular Season
Milwaukee Bucks,2020-01-20,W,0.584,0.423,3.0,45.0,34.0,7.0,5.0,23.0,111,Chicago Bulls,0.37,0.292,7.0,32.0,18.0,11.0,2.0,98,Regular Season
Minnesota Timberwolves,2020-01-20,L,0.418,0.31,11.0,31.0,26.0,7.0,5.0,9.0,100,Denver Nuggets,0.478,0.355,13.0,40.0,26.0,9.0,1.0,107,Regular Season
