Team,FG_Percent,3P_Percent,ORB,DRB,AST,STL,BLK,PF,PTS,Year
Portland Trail Blazers*,0.463,0.377,10.2,35.1,20.6,6.3,6.1,21.7,115,2020
Washington Wizards,0.457,0.368,10.2,31.9,25,8,4.3,22.7,114.4,2020
San Antonio Spurs,0.472,0.376,9,35.6,24.7,7.3,5.5,19.4,114.1,2020
Boston Celtics*,0.461,0.364,10.7,35.4,23,8.3,5.6,21.6,113.7,2020
Phoenix Suns,0.468,0.358,9.8,33.8,27.2,7.7,4,22,113.6,2020
Los Angeles Lakers*,0.48,0.349,10.7,35.1,25.4,8.6,6.6,20.7,113.4,2020
Minnesota Timberwolves,0.441,0.336,10.5,34.3,23.8,8.7,5.7,21.4,113.3,2020
Toronto Raptors*,0.458,0.374,9.5,35.9,25.2,8.8,5,21.7,112.8,2020
Memphis Grizzlies,0.468,0.347,10.3,36.2,26.9,7.9,5.5,21.2,112.6,2020
Miami Heat*,0.468,0.379,8.5,35.9,25.9,7.5,4.5,20.6,112,2020
Atlanta Hawks,0.449,0.333,9.9,33.4,24,7.8,5.1,23.1,111.8,2020
Brooklyn Nets*,0.448,0.343,10.6,37.3,24.5,6.4,4.5,21,111.8,2020
Denver Nuggets*,0.473,0.359,10.8,33.4,26.7,8,4.6,20.3,111.3,2020
Utah Jazz*,0.471,0.38,9.1,35.8,22.4,6.1,4.1,20.4,111.3,2020
Philadelphia 76ers*,0.468,0.368,10.5,35,25.8,8,5.3,20.9,110.7,2020
Oklahoma City Thunder*,0.468,0.355,8.2,34.7,21.7,7.6,4.9,19.3,110.4,2020
Sacramento Kings,0.462,0.364,9.7,32.9,23.8,7.7,4.1,22.2,110.1,2020
Indiana Pacers*,0.476,0.363,8.7,34.1,25.9,7.4,5.2,19.8,109.4,2020
Orlando Magic*,0.444,0.343,10.3,34.2,23.9,8.2,5.4,18.3,107.3,2020
Detroit Pistons,0.459,0.367,9.8,32,24.1,7.4,4.5,19.7,107.2,2020
Cleveland Cavaliers,0.458,0.351,10.8,33.4,23.1,6.9,3.2,18.3,106.9,2020
Chicago Bulls,0.447,0.348,10.5,31.4,23.2,10,4.1,21.8,106.8,2020
Golden State Warriors,0.438,0.334,10,32.9,25.6,8.2,4.6,20.1,106.3,2020
New York Knicks,0.447,0.337,12,34.5,22.1,7.6,4.7,22.2,105.8,2020
Charlotte Hornets,0.434,0.352,11,31.8,23.8,6.6,4.1,18.8,102.9,2020
League Average,0.46,0.358,10.1,34.8,24.4,7.6,4.9,20.8,111.8,2020
Milwaukee Bucks*,0.487,0.389,10.3,37.8,25.5,8.1,4.6,17.3,120.1,2021
Brooklyn Nets*,0.494,0.392,8.9,35.5,26.8,6.7,5.3,19,118.6,2021
Washington Wizards*,0.475,0.351,9.7,35.5,25.5,7.3,4.1,21.6,116.6,2021
Utah Jazz*,0.468,0.389,10.6,37.6,23.7,6.6,5.2,18.5,116.4,2021
Portland Trail Blazers*,0.453,0.385,10.6,33.9,21.3,6.9,5,18.9,116.1,2021
Phoenix Suns*,0.49,0.378,8.8,34.2,26.9,7.2,4.3,19.1,115.3,2021
Indiana Pacers,0.474,0.364,9,33.7,27.4,8.5,6.4,20.2,115.3,2021
Denver Nuggets*,0.485,0.377,10.5,33.9,26.8,8.1,4.5,19.1,115.1,2021
New Orleans Pelicans,0.477,0.348,11.7,35.7,26,7.6,4.4,18,114.6,2021
Los Angeles Clippers*,0.482,0.411,9.4,34.7,24.4,7.1,4.1,19.2,114,2021
Atlanta Hawks*,0.468,0.373,10.6,35.1,24.1,7,4.8,19.3,113.7,2021
Sacramento Kings,0.481,0.364,9.4,32,25.5,7.5,5,19.4,113.7,2021
Golden State Warriors,0.468,0.376,8,35.1,27.7,8.2,4.8,21.2,113.7,2021
Philadelphia 76ers*,0.476,0.374,10,35,23.7,9.1,6.2,20.2,113.6,2021
Memphis Grizzlies*,0.467,0.356,11.2,35.3,26.9,9.1,5.1,18.7,113.3,2021
Boston Celtics*,0.466,0.374,10.6,33.6,23.5,7.7,5.3,20.4,112.6,2021
Dallas Mavericks*,0.47,0.362,9.1,34.2,22.9,6.3,4.3,19.4,112.4,2021
Minnesota Timberwolves,0.448,0.349,10.5,33,25.6,8.8,5.5,20.9,112.1,2021
Toronto Raptors,0.448,0.368,9.4,32.1,24.1,8.6,5.4,21.2,111.3,2021
San Antonio Spurs,0.462,0.35,9.3,34.6,24.4,7,5.1,18,111.1,2021
Chicago Bulls,0.476,0.37,9.6,35.3,26.8,6.7,4.2,18.9,110.7,2021
Los Angeles Lakers*,0.472,0.354,9.7,34.6,24.7,7.8,5.4,19.1,109.5,2021
Charlotte Hornets,0.455,0.369,10.6,33.2,26.8,7.8,4.8,18,109.5,2021
Houston Rockets,0.444,0.339,9.3,33.3,23.6,7.6,5,19.5,108.8,2021
Miami Heat*,0.468,0.358,8,33.5,26.3,7.9,4,18.9,108.1,2021
New York Knicks*,0.456,0.392,9.7,35.5,21.4,7,5.1,20.5,107,2021
Detroit Pistons,0.452,0.351,9.6,33.1,24.2,7.4,5.2,20.5,106.6,2021
Oklahoma City Thunder,0.441,0.339,9.9,35.7,22.1,7,4.4,18.1,105,2021
Orlando Magic,0.429,0.343,10.4,35.1,21.8,6.9,4.4,17.2,104,2021
Cleveland Cavaliers,0.45,0.336,10.4,32.3,23.8,7.8,4.5,18.2,103.8,2021
League Average,0.466,0.367,9.8,34.5,24.8,7.6,4.9,19.3,112.1,2021
Minnesota Timberwolves*,0.457,0.358,11.2,32.9,25.7,8.8,5.6,21.8,115.9,2022
Memphis Grizzlies*,0.461,0.353,14.1,35,26,9.8,6.5,19.8,115.6,2022
Milwaukee Bucks*,0.468,0.366,10.2,36.5,23.9,7.6,4,18.2,115.5,2022
Charlotte Hornets,0.468,0.365,10.8,33.7,28.1,8.6,4.9,19.9,115.3,2022
Phoenix Suns*,0.485,0.364,9.8,35.5,27.4,8.6,4.4,19.9,114.8,2022
Atlanta Hawks*,0.47,0.374,10,33.9,24.6,7.2,4.2,18.7,113.9,2022
Utah Jazz*,0.471,0.36,10.8,35.6,22.4,7.2,4.9,18.9,113.6,2022
San Antonio Spurs,0.467,0.352,11,34.3,27.9,7.6,4.9,18.1,113.2,2022
