date,home,away,team,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,win
2018-10-21,OKC,SAC,SAC,131,54.9,45.5,12,34,28,11,7,1
2018-10-22,BOS,ORL,BOS,90,40.7,22.5,9,42,21,6,3,0
2018-10-22,BOS,ORL,ORL,93,40.9,28.6,8,41,28,6,2,1
2018-10-22,DAL,CHI,DAL,115,43.0,31.9,13,28,25,8,2,1
2018-10-22,DAL,CHI,CHI,109,51.3,56.5,7,27,18,6,4,0
2018-10-22,GSW,PHX,GSW,123,51.1,37.8,7,33,35,12,4,1
2018-10-22,GSW,PHX,PHX,103,45.3,26.5,12,33,24,8,1,0
2018-10-22,LAL,SAS,LAL,142,51.4,35.9,13,39,33,5,6,0
2018-10-22,LAL,SAS,SAS,143,51.5,53.6,10,37,32,9,3,1
2018-10-22,MIL,NYK,MIL,124,46.9,42.5,19,36,27,5,9,1
2018-10-22,MIL,NYK,NYK,113,45.5,34.5,11,32,22,6,2,0
2018-10-22,MIN,IND,MIN,101,42.4,21.2,8,39,24,9,12,1
2018-10-22,MIN,IND,IND,91,39.1,30.8,12,33,18,6,6,0
2018-10-22,POR,WAS,POR,124,39.8,28.2,17,53,22,6,4,0
2018-10-22,POR,WAS,WAS,125,41.8,40.5,12,42,23,6,7,1
2018-10-22,TOR,CHA,TOR,127,57.5,38.5,5,41,36,10,8,1
2018-10-22,TOR,CHA,CHA,106,42.3,32.1,14,27,21,5,5,0
2018-10-22,UTA,MEM,UTA,84,35.4,25.0,10,40,18,6,6,0
2018-10-22,UTA,MEM,MEM,92,36.9,32.1,7,36,18,10,2,1
2018-10-23,DEN,SAC,DEN,126,51.5,36.7,15,34,31,11,3,1
2018-10-23,DEN,SAC,SAC,112,52.3,41.9,9,30,29,7,6,0
2018-10-23,DET,PHI,DET,133,47.2,36.4,12,34,22,4,4,1
2018-10-23,DET,PHI,PHI,132,50.0,32.6,8,40,32,3,8,0
2018-10-23,NOP,LAC,NOP,116,43.0,25.0,12,36,22,12,8,1
2018-10-23,NOP,LAC,LAC,109,47.1,25.0,9,38,18,5,4,0
2018-10-24,ATL,DAL,ATL,111,40.7,39.5,10,44,28,6,6,1
2018-10-24,ATL,DAL,DAL,104,41.8,30.0,9,43,25,7,9,0
2018-10-24,CHI,CHA,CHI,112,48.1,34.5,9,36,21,4,5,1
2018-10-24,CHI,CHA,CHA,110,43.5,28.6,8,28,23,5,5,0
2018-10-24,CLE,BKN,CLE,86,38.2,16.7,16,37,18,5,2,0
2018-10-24,CLE,BKN,BKN,102,43.7,41.2,8,36,23,8,1,1
2018-10-24,GSW,WAS,GSW,144,57.6,45.5,10,38,37,6,5,1
2018-10-24,GSW,WAS,WAS,122,45.2,28.6,7,27,22,7,1,0
2018-10-24,HOU,UTA,HOU,89,40.2,27.5,10,25,16,12,5,0
2018-10-24,HOU,UTA,UTA,100,43.6,34.5,9,38,21,7,5,1
2018-10-24,MIA,NYK,MIA,110,47.6,44.8,4,47,24,7,5,1
2018-10-24,MIA,NYK,NYK,87,36.3,36.4,10,35,20,5,3,0
2018-10-24,MIL,PHI,MIL,123,41.0,30.2,9,42,24,7,10,1
2018-10-24,MIL,PHI,PHI,108,41.3,32.4,8,42,29,4,5,0
2018-10-24,PHX,LAL,PHX,113,52.4,32.3,9,35,27,4,4,0
2018-10-24,PHX,LAL,LAL,131,52.0,35.7,11,32,34,13,5,1
2018-10-24,SAC,MEM,SAC,97,42.2,33.3,15,42,19,7,5,1
2018-10-24,SAC,MEM,MEM,92,38.3,27.0,13,36,18,7,6,0
2018-10-24,SAS,IND,SAS,96,40.2,31.6,15,31,16,3,3,0
2018-10-24,SAS,IND,IND,116,52.9,53.1,5,35,34,9,5,1
2018-10-24,TOR,MIN,TOR,112,51.7,34.4,11,33,26,9,8,1
2018-10-24,TOR,MIN,MIN,105,41.7,50.0,16,28,25,10,5,0
2018-10-25,DET,CLE,DET,110,52.6,39.3,13,35,21,4,5,1
