home_team,away_team,PTS_home,FG%_home,3P%_home,FT%_home,OREB_home,DREB_home,AST_home,STL_home,BLK_home,PTS_away,FG%_away,3P%_away,FT%_away,OREB_away,DREB_away,AST_away,STL_away,BLK_away,winner
ATL,DAL,111,40.7,39.5,71.0,10,44,28,6,6,104,41.8,30.0,61.5,9,43,25,7,9,ATL
BKN,CLE,102,43.7,41.2,80.0,8,36,23,8,1,86,38.2,16.7,93.8,16,37,18,5,2,BKN
MIA,NYK,110,47.6,44.8,67.9,4,47,24,7,5,87,36.3,36.4,64.3,10,35,20,5,3,MIA
MIN,TOR,105,41.7,50.0,62.5,16,28,25,10,5,112,51.7,34.4,75.0,11,33,26,9,8,TOR
CHA,CHI,110,43.5,28.6,89.7,8,28,23,5,5,112,48.1,34.5,80.0,9,36,21,4,5,CHI
HOU,UTA,89,40.2,27.5,57.1,10,25,16,12,5,100,43.6,34.5,78.6,9,38,21,7,5,UTA
IND,SAS,116,52.9,53.1,87.5,5,35,34,9,5,96,40.2,31.6,95.2,15,31,16,3,3,IND
MIL,PHI,123,41.0,30.2,93.3,9,42,24,7,10,108,41.3,32.4,70.0,8,42,29,4,5,MIL
LAL,PHX,131,52.0,35.7,73.9,11,32,34,13,5,113,52.4,32.3,71.4,9,35,27,4,4,LAL
MEM,SAC,92,38.3,27.0,76.9,13,36,18,7,6,97,42.2,33.3,63.6,15,42,19,7,5,SAC
GSW,WAS,144,57.6,45.5,92.0,10,38,37,6,5,122,45.2,28.6,92.9,7,27,22,7,1,GSW
CLE,DET,103,46.1,33.3,86.7,7,23,18,11,1,110,52.6,39.3,58.6,13,35,21,4,5,DET
ORL,POR,114,50.0,40.0,80.0,11,29,29,5,7,128,55.2,40.7,80.8,12,32,24,6,6,POR
BOS,OKC,101,38.4,34.4,72.7,10,35,19,7,1,95,39.4,25.0,56.0,16,41,19,5,6,BOS
DEN,LAL,114,50.0,26.1,80.0,10,34,22,8,5,121,50.0,34.5,82.6,9,33,27,13,3,LAL
CHA,CHI,135,57.0,43.8,93.8,11,39,30,10,10,106,43.5,44.4,72.7,8,26,21,5,7,CHA
GSW,NYK,128,58.6,48.5,83.3,6,33,26,10,6,100,43.3,33.3,75.0,11,29,17,6,1,GSW
DAL,TOR,107,41.3,40.0,79.2,10,34,22,6,6,116,48.4,40.7,85.0,12,38,23,10,5,TOR
HOU,LAC,113,38.8,36.6,88.0,16,26,21,11,7,133,54.4,52.2,92.1,5,39,17,8,4,LAC
MIL,MIN,125,53.3,41.3,72.7,7,55,32,4,8,95,32.1,23.3,72.2,17,32,19,10,6,MIL
BKN,NOP,115,43.9,47.5,66.7,16,38,26,6,8,117,44.9,39.1,76.9,15,31,23,11,11,NOP
SAC,WAS,116,46.3,37.8,60.9,14,39,25,8,4,112,46.5,33.3,78.3,5,37,22,8,7,SAC
BOS,DET,109,45.3,41.2,68.0,8,46,25,4,8,89,37.1,18.9,80.0,6,41,16,4,3,BOS
NOP,UTA,111,42.1,26.5,75.9,11,29,22,4,5,132,52.3,31.3,81.1,6,37,32,7,7,UTA
ATL,CHI,85,32.1,30.0,82.6,11,37,20,9,8,97,43.4,36.4,81.3,8,44,25,14,6,CHI
CLE,IND,107,46.5,28.0,90.9,16,23,21,9,2,119,64.9,38.5,69.2,4,20,28,13,3,IND
CHA,PHI,103,38.9,25.7,83.3,9,39,19,3,8,105,38.5,35.7,83.3,14,42,18,4,8,PHI
MIA,POR,120,45.8,38.5,65.4,16,40,21,7,8,111,42.0,36.4,89.3,8,34,14,7,8,MIA
MEM,PHX,117,55.7,34.6,90.9,3,36,30,12,1,96,46.2,27.3,78.9,5,30,28,5,1,MEM
MIL,ORL,113,50.0,33.3,91.3,6,51,24,6,7,91,32.7,23.3,88.2,11,30,21,9,6,MIL
LAL,SAS,106,47.7,39.4,61.1,7,35,19,5,5,110,48.4,18.8,79.2,12,37,20,7,5,SAS
BKN,GSW,114,48.3,47.6,66.7,5,32,28,5,3,120,49.4,33.3,87.5,12,35,28,11,7,GSW
DAL,UTA,104,41.8,32.1,76.0,12,31,24,6,3,113,52.5,40.0,86.4,8,35,25,8,6,UTA
OKC,PHX,117,50.6,29.2,68.6,9,34,22,16,3,110,44.2,29.6,96.3,10,34,21,10,3,OKC
LAC,WAS,136,54.4,55.2,61.5,14,43,35,7,9,104,39.2,18.5,82.1,14,31,18,7,3,LAC
IND,POR,93,41.1,31.6,65.0,7,28,19,8,5,103,48.7,38.5,94.4,9,41,19,3,3,POR
ATL,PHI,92,37.2,21.6,66.7,10,37,20,10,3,113,41.4,29.8,94.4,16,48,33,7,9,PHI
MIA,SAC,113,41.3,33.3,70.6,13,39,20,10,9,123,49.5,46.2,60.0,9,37,28,8,8,SAC
BKN,NYK,96,40.5,28.9,77.3,11,21,22,6,7,115,48.9,37.5,88.9,16,37,21,5,3,NYK
CHI,GSW,124,48.9,31.4,61.8,12,32,25,6,3,149,55.2,53.3,73.1,8,41,34,9,7,GSW
MIL,TOR,124,48.9,42.2,78.9,8,49,28,5,4,109,37.9,20.0,78.6,15,36,25,9,7,MIL
LAL,MIN,120,47.1,36.4,66.7,17,31,24,8,8,124,42.9,48.3,86.7,20,31,26,11,12,MIN
DAL,SAS,108,47.3,29.4,70.6,8,41,15,9,3,113,46.2,45.0,95.2,5,36,27,17,2,SAS
DEN,NOP,116,45.2,31.4,91.3,9,32,28,14,5,111,52.4,45.8,70.0,7,37,28,8,5,DEN
CHA,MIA,125,54.3,46.4,82.8,8,31,27,7,5,113,47.1,39.3,83.3,10,24,25,9,5,CHA
ATL,CLE,114,53.7,42.9,64.7,6,33,25,6,8,136,50.0,52.0,76.7,13,35,23,13,1,CLE
ORL,SAC,99,39.6,25.6,72.7,11,37,28,10,8,107,48.8,36.4,65.4,8,43,22,8,6,SAC
BOS,DET,108,44.0,29.0,78.1,8,38,25,8,4,105,42.0,26.7,85.2,11,39,17,6,3,BOS
PHI,TOR,112,41.8,35.0,73.3,17,30,25,7,5,129,51.1,40.7,85.7,9,34,29,13,6,TOR
HOU,POR,85,32.3,23.3,56.5,20,29,18,7,9,104,47.5,40.0,87.0,7,44,17,4,4,POR
MEM,WAS,107,48.6,46.4,71.0,6,32,28,16,3,95,43.2,40.0,85.0,5,32,24,9,7,MEM
LAC,OKC,110,47.3,35.0,76.7,6,32,18,6,7,128,51.1,52.9,71.9,9,32,19,16,6,OKC
BKN,DET,120,42.6,31.6,73.3,18,37,26,5,3,119,41.9,32.4,76.9,14,41,16,8,6,BKN
IND,NYK,107,54.2,30.0,64.7,10,31,24,10,10,101,43.0,48.0,87.5,9,26,18,6,6,IND
CHI,DEN,107,42.4,47.1,72.2,10,33,27,7,6,108,45.5,26.9,61.1,17,39,24,7,9,DEN
MIN,UTA,128,58.1,48.0,66.7,7,34,19,10,8,125,48.5,43.3,60.0,20,28,25,9,5,MIN
GSW,NOP,131,52.8,50.0,70.0,12,34,39,10,4,121,47.8,34.3,77.8,12,30,24,8,2,GSW
DAL,LAL,113,50.0,44.8,73.7,10,30,24,5,5,114,51.2,58.8,75.0,8,31,23,12,6,LAL
PHX,SAS,90,38.9,25.0,77.8,7,28,21,10,3,120,55.4,22.2,92.3,6,41,24,7,6,SAS
CHA,OKC,107,40.9,26.8,90.9,11,40,26,7,3,111,42.7,21.6,72.4,14,35,20,12,9,OKC
