team,win,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,FT%
DEN,1,0.5476190476190476,0.6345177664974622,0.5954861111111113,0.3214285714285714,0.4358974358974359,0.46153846153846156,0.45,0.3529411764705882,0.75
LAL,0,0.40476190476190477,0.45431472081218294,0.4791666666666667,0.46428571428571425,0.3846153846153846,0.3076923076923077,0.25,0.23529411764705882,0.75
GSW,0,0.3690476190476192,0.20050761421319807,0.2847222222222222,0.6428571428571428,0.3846153846153846,0.20512820512820512,0.55,0.3529411764705882,0.7859999999999999
PHX,0,0.41666666666666663,0.4187817258883251,0.4583333333333333,0.6071428571428571,0.6923076923076922,0.3076923076923077,0.25,0.4117647058823529,0.765
ATL,0,0.4404761904761906,0.36040609137055846,0.17881944444444442,0.42857142857142855,0.3589743589743589,0.33333333333333337,0.6000000000000001,0.058823529411764705,0.818
CHA,0,0.511904761904762,0.5659898477157361,0.3958333333333333,0.42857142857142855,0.5897435897435898,0.5897435897435898,0.25,0.1764705882352941,0.731
IND,1,0.8333333333333334,0.6243654822335027,0.6875000000000001,0.3571428571428571,0.6410256410256411,0.6923076923076923,0.5,0.47058823529411764,0.917
WAS,0,0.5595238095238094,0.45939086294416254,0.5312500000000001,0.39285714285714285,0.46153846153846156,0.4358974358974359,0.30000000000000004,0.5294117647058824,0.793
BOS,0,0.41666666666666663,0.5177664974619292,0.4149305555555555,0.25,0.5897435897435898,0.17948717948717946,0.30000000000000004,0.6470588235294118,0.846
NYK,0,0.3690476190476192,0.23857868020304585,0.6423611111111112,0.6071428571428571,0.3589743589743589,0.33333333333333337,0.45,0.0,0.538
HOU,0,0.15476190476190477,0.3248730964467006,0.4930555555555555,0.25,0.20512820512820518,0.20512820512820512,0.30000000000000004,0.1764705882352941,0.625
ORL,1,0.511904761904762,0.5228426395939088,0.3402777777777778,0.6071428571428571,0.6153846153846153,0.20512820512820512,0.4,0.3529411764705882,0.885
BKN,0,0.47619047619047616,0.5659898477157361,0.4583333333333333,0.46428571428571425,0.5384615384615384,0.4871794871794871,0.30000000000000004,0.3529411764705882,0.7690000000000001
CLE,0,0.488095238095238,0.484771573604061,0.5659722222222223,0.3214285714285714,0.33333333333333337,0.3589743589743589,0.5,0.3529411764705882,0.9
DET,0,0.34523809523809523,0.4289340101522845,0.4774305555555555,0.6071428571428571,0.5897435897435898,0.4358974358974359,0.15000000000000002,0.7647058823529411,0.6
MIA,0,0.3571428571428571,0.3172588832487311,0.5121527777777778,0.5714285714285714,0.41025641025641024,0.28205128205128205,0.55,0.1764705882352941,0.8079999999999999
MIN,0,0.2500000000000001,0.1598984771573605,0.328125,0.5714285714285714,0.7692307692307693,0.23076923076923073,0.4,0.5294117647058824,0.818
TOR,1,0.2857142857142857,0.3121827411167515,0.5746527777777778,0.2857142857142857,0.5897435897435898,0.41025641025641024,0.45,0.6470588235294118,0.688
CHI,0,0.3690476190476192,0.35025380710659904,0.37673611111111116,0.46428571428571425,0.33333333333333337,0.3846153846153846,0.5,0.1764705882352941,0.778
OKC,1,0.6071428571428571,0.6903553299492386,0.7256944444444445,0.17857142857142855,0.5641025641025641,0.4871794871794871,0.30000000000000004,0.23529411764705882,0.833
MEM,0,0.3690476190476192,0.35786802030456855,0.3645833333333333,0.2857142857142857,0.33333333333333337,0.3076923076923077,0.4,0.4117647058823529,0.8
NOP,1,0.45238095238095244,0.4923857868020307,0.640625,0.39285714285714285,0.6410256410256411,0.28205128205128205,0.4,0.29411764705882354,0.773
SAC,1,0.6785714285714285,0.46700507614213227,0.5277777777777778,0.5357142857142857,0.3589743589743589,0.46153846153846156,0.30000000000000004,0.47058823529411764,0.85
UTA,0,0.488095238095238,0.4416243654822336,0.43750000000000006,0.5714285714285714,0.5641025641025641,0.28205128205128205,0.30000000000000004,0.11764705882352941,0.742
DAL,1,0.630952380952381,0.5025380710659899,0.43402777777777773,0.46428571428571425,0.4871794871794871,0.33333333333333337,0.30000000000000004,0.1764705882352941,0.7390000000000001
SAS,0,0.5476190476190476,0.6091370558375637,0.42534722222222215,0.3214285714285714,0.5128205128205128,0.5641025641025641,0.4,0.29411764705882354,0.7270000000000001
LAC,0,0.5952380952380952,0.6218274111675131,0.6979166666666667,0.5,0.3846153846153846,0.641025641025641,0.55,0.4117647058823529,0.813
POR,0,0.45238095238095244,0.4974619289340103,0.4236111111111111,0.5357142857142857,0.23076923076923073,0.23076923076923073,0.5,0.23529411764705882,0.765
MIL,1,0.5357142857142857,0.5812182741116754,0.5173611111111113,0.2857142857142857,0.4871794871794871,0.23076923076923073,0.45,0.23529411764705882,0.6940000000000001
PHI,0,0.5238095238095238,0.5989847715736041,0.6736111111111113,0.14285714285714285,0.4871794871794871,0.3589743589743589,0.4,0.23529411764705882,0.679
LAL,0,0.3214285714285715,0.3857868020304569,0.17881944444444442,0.2857142857142857,0.46153846153846156,0.33333333333333337,0.7000000000000001,0.4117647058823529,0.793
PHX,0,0.261904761904762,0.36294416243654837,0.3836805555555555,0.3571428571428571,0.5897435897435898,0.1282051282051282,0.35000000000000003,0.1764705882352941,0.783
CHA,0,0.30952380952380965,0.24873096446700516,0.3142361111111111,0.39285714285714285,0.3589743589743589,0.23076923076923073,0.65,0.4117647058823529,0.765
DET,1,0.45238095238095244,0.451776649746193,0.4583333333333333,0.42857142857142855,0.6410256410256411,0.4358974358974359,0.35000000000000003,0.3529411764705882,0.84
DEN,0,0.41666666666666663,0.4796954314720814,0.5364583333333334,0.21428571428571427,0.4358974358974359,0.41025641025641024,0.55,0.5294117647058824,0.667
MEM,0,0.3690476190476192,0.41370558375634525,0.40625000000000006,0.46428571428571425,0.4871794871794871,0.28205128205128205,0.65,0.4117647058823529,0.833
ATL,0,0.5595238095238094,0.5228426395939088,0.5312500000000001,0.3214285714285714,0.4871794871794871,0.4358974358974359,0.35000000000000003,0.3529411764705882,0.8
NYK,1,0.630952380952381,0.5101522842639594,0.670138888888889,0.42857142857142855,0.4358974358974359,0.4871794871794871,0.45,0.3529411764705882,0.7140000000000001
BOS,1,0.5476190476190476,0.5000000000000002,0.592013888888889,0.5714285714285714,0.5897435897435898,0.23076923076923073,0.35000000000000003,0.3529411764705882,0.684
MIA,0,0.45238095238095244,0.3807106598984773,0.7222222222222223,0.39285714285714285,0.46153846153846156,0.33333333333333337,0.4,0.3529411764705882,0.826
CLE,0,0.38095238095238104,0.34517766497461944,0.34375,0.2857142857142857,0.6153846153846153,0.23076923076923073,0.5,0.47058823529411764,0.7390000000000001
OKC,1,0.41666666666666663,0.46446700507614236,0.748263888888889,0.21428571428571427,0.6410256410256411,0.28205128205128205,0.4,0.5882352941176471,0.789
CHI,0,0.3690476190476192,0.24619289340101524,0.2361111111111111,0.5357142857142857,0.5384615384615384,0.17948717948717946,0.5,0.29411764705882354,0.7859999999999999
TOR,0,0.3571428571428571,0.47461928934010156,0.3142361111111111,0.2857142857142857,0.7435897435897435,0.3589743589743589,0.25,0.11764705882352941,0.64
