date,type,team,home,away,PTS,FG%,3P%,FT%,OREB,DREB,AST,STL,BLK,win,season
2018-10-16,regular,BOS,BOS,PHI,0.34259259259259267,0.39234449760765533,0.2875816993464052,0.6119402985074627,0.41379310344827586,0.6136363636363636,0.30952380952380953,0.3181818181818182,0.25,1,2019
2018-10-16,regular,PHI,BOS,PHI,0.17592592592592593,0.29186602870813405,0.1503267973856209,0.4694708276797828,0.20689655172413793,0.5681818181818182,0.23809523809523808,0.36363636363636365,0.25,0,2019
2018-10-16,regular,GSW,GSW,OKC,0.37037037037037046,0.4138755980861244,0.25098039215686274,0.9240162822252374,0.5862068965517241,0.5681818181818182,0.47619047619047616,0.3181818181818182,0.35000000000000003,1,2019
2018-10-16,regular,OKC,GSW,OKC,0.2962962962962963,0.22488038277511957,0.2522875816993464,0.5237449118046134,0.5517241379310345,0.2954545454545454,0.30952380952380953,0.5454545454545454,0.30000000000000004,0,2019
2018-10-17,regular,CHA,CHA,MIL,0.40740740740740744,0.42344497607655507,0.44967320261437915,0.5061058344640434,0.3103448275862069,0.36363636363636365,0.30952380952380953,0.36363636363636365,0.45,0,2019
2018-10-17,regular,MIL,CHA,MIL,0.41666666666666674,0.5382775119617225,0.43790849673202625,0.66078697421981,0.3793103448275862,0.6818181818181818,0.4285714285714286,0.2272727272727273,0.2,1,2019
2018-10-17,regular,BKN,DET,BKN,0.2962962962962963,0.5239234449760763,0.1411764705882353,0.5685210312075983,0.1724137931034483,0.40909090909090906,0.47619047619047616,0.4090909090909091,0.25,0,2019
2018-10-17,regular,DET,DET,BKN,0.32407407407407407,0.3708133971291865,0.2261437908496732,0.8154681139755766,0.48275862068965514,0.36363636363636365,0.30952380952380953,0.2272727272727273,0.25,1,2019
2018-10-17,regular,IND,IND,MEM,0.39814814814814814,0.7105263157894737,0.40261437908496733,0.37313432835820887,0.4482758620689655,0.6363636363636364,0.5,0.09090909090909091,0.35000000000000003,1,2019
2018-10-17,regular,MEM,IND,MEM,0.13888888888888895,0.0693779904306221,0.3503267973856209,0.7571234735413839,0.24137931034482757,0.11363636363636365,0.19047619047619047,0.5,0.15000000000000002,0,2019
2018-10-17,regular,MIA,ORL,MIA,0.3055555555555556,0.29425837320574166,0.25620915032679736,0.6295793758480326,0.48275862068965514,0.5,0.19047619047619047,0.18181818181818182,0.25,0,2019
2018-10-17,regular,ORL,ORL,MIA,0.33333333333333337,0.34928229665071775,0.26535947712418306,0.47489823609226584,0.48275862068965514,0.4772727272727273,0.2857142857142857,0.3181818181818182,0.35000000000000003,1,2019
2018-10-17,regular,ATL,NYK,ATL,0.36111111111111116,0.44736842105263164,0.26274509803921575,0.7734056987788329,0.24137931034482757,0.5,0.26190476190476186,0.3181818181818182,0.15000000000000002,0,2019
2018-10-17,regular,NYK,NYK,ATL,0.537037037037037,0.4449760765550239,0.37516339869281046,0.6933514246947083,0.3448275862068966,0.4545454545454546,0.30952380952380953,0.5454545454545454,0.30000000000000004,1,2019
2018-10-17,regular,CLE,TOR,CLE,0.33333333333333337,0.3133971291866029,0.3803921568627451,0.6526458616010855,0.48275862068965514,0.4318181818181819,0.2142857142857143,0.18181818181818182,0.0,0,2019
2018-10-17,regular,TOR,TOR,CLE,0.4444444444444444,0.5263157894736841,0.4535947712418301,0.45725915875169604,0.27586206896551724,0.4318181818181819,0.30952380952380953,0.2727272727272727,0.35000000000000003,1,2019
2018-10-17,regular,HOU,HOU,NOP,0.40740740740740744,0.3708133971291865,0.3346405228758169,0.66078697421981,0.27586206896551724,0.2954545454545454,0.30952380952380953,0.36363636363636365,0.35000000000000003,0,2019
2018-10-17,regular,NOP,HOU,NOP,0.5833333333333333,0.6267942583732058,0.4222222222222223,0.6919945725915873,0.48275862068965514,0.5454545454545455,0.6666666666666666,0.36363636363636365,0.15000000000000002,1,2019
2018-10-17,regular,MIN,SAS,MIN,0.37037037037037046,0.3827751196172249,0.31241830065359477,0.8493894165535956,0.48275862068965514,0.36363636363636365,0.2857142857142857,0.4090909090909091,0.1,0,2019
2018-10-17,regular,SAS,SAS,MIN,0.40740740740740744,0.3851674641148326,0.4745098039215687,0.6255088195386702,0.6551724137931034,0.38636363636363635,0.33333333333333326,0.13636363636363635,0.2,1,2019
2018-10-17,regular,SAC,SAC,UTA,0.4537037037037037,0.5909090909090908,0.3803921568627451,0.5481682496607869,0.1724137931034483,0.36363636363636365,0.2142857142857143,0.36363636363636365,0.15000000000000002,0,2019
2018-10-17,regular,UTA,SAC,UTA,0.5092592592592593,0.5980861244019138,0.5281045751633987,0.6431478968792401,0.1724137931034483,0.5227272727272727,0.30952380952380953,0.36363636363636365,0.2,1,2019
2018-10-17,regular,DEN,LAC,DEN,0.36111111111111116,0.26315789473684204,0.3346405228758169,0.7096336499321572,0.48275862068965514,0.5909090909090909,0.2857142857142857,0.2727272727272727,0.45,1,2019
2018-10-17,regular,LAC,LAC,DEN,0.2777777777777778,0.30861244019138745,0.273202614379085,0.7734056987788329,0.3103448275862069,0.5,0.30952380952380953,0.13636363636363635,0.45,0,2019
2018-10-17,regular,DAL,PHX,DAL,0.2962962962962963,0.38995215311004783,0.29542483660130725,0.5929443690637719,0.3448275862068966,0.2727272727272727,0.47619047619047616,0.3181818181818182,0.25,0,2019
2018-10-17,regular,PHX,PHX,DAL,0.4907407407407407,0.6555023923444976,0.6300653594771242,0.8303934871099048,0.20689655172413793,0.5,0.6428571428571428,0.2272727272727273,0.1,1,2019
